Analyses|Method Notes|Version History|Contents
mediation|Mediation and moderation effects|Assign predictor, outcome, mediator, moderator and covariate roles and draw paths on the canvas to estimate direct, indirect, total and conditional effects. This is not a numbered-model selection workflow. Unsupported path structures are checked before execution.|Assess indirect effects using bootstrap intervals and moderation using interactions and conditional effects. Observational paths alone do not establish causality. Check valid resamples and warnings; withheld inference does not mean nonsignificance.
generalized|Logistic, GLM and penalized regression|Use logistic and generalized linear models, Ridge, LASSO and Elastic Net. Report coefficients and performance with their outcome scale, family, link and cross-validation settings.|Do not interpret an OR as a probability difference. Check family, overdispersion and link suitability. Penalized coefficients differ from ordinary OLS inference; performance measured on the training data is not external predictive performance.
longitudinal|Longitudinal, panel and survey data|Supported designs include GEE, LMM, GLMM, fixed/random-effects and complex-survey analyses. Check subject/cluster identifiers, time, weights, strata and clusters as applicable.|Do not treat repeated observations as independent cases. Distinguish population-average and subject-conditional effects; specify correlation/random-effects structures and design information. Structural equation menus do not support all these designs.
survival|Survival analysis|Use Kaplan–Meier, log-rank, RMST, Cox and supported competing-risk analyses. Check input format and event coding first; unsupported combinations are restricted.|Specify the time origin, units, censoring and event codes. Check Cox proportional hazards and the RMST restriction time. Competing-risk CIF, cause-specific HR and subdistribution SHR are distinct estimands.
cfa|Confirmatory factor analysis (CFA)|Use ML, MLR and ordinal-data WLSMV/DWLS estimation; inspect loadings, fit, reliability, AVE, HTMT and supported measurement-invariance comparisons. Normal/Wishart selection is limited to applicable ML settings.|Match the estimator to the measurement level. Check convergence, negative variances, large factor correlations and local misfit first. Do not assume automatic constraint release for partial invariance or fully automatic parceling.
sem|Structural equation modeling (SEM)|Report measurement/structural paths, fit and supported direct, indirect and conditional effects. Bootstrap defaults to 5,000 resamples; results reflect selected BC or percentile intervals and other settings.|Current structural models cover independent cross-sectional data. Do not interpret them as multilevel, complex-survey or longitudinal SEM. Examine measurement invariance before group path comparisons; multigroup moderated models have support limitations.
pls|PLS-SEM and PLSc|Use reflective Mode A, formative Mode B and reflective PLSc, path/measurement diagnostics and supported prediction/group comparisons. PLS/PLSc Missing-Data Handling uses indicator means via seminr::mean_replacement; each bootstrap resample recomputes means. Bootstrap defaults to 5,000 resamples.|Do not apply PLSc to formative models. Bootstrap inference is restricted when fewer than 80% of whole resamples are valid. Distinguish effect inference from exact-fit bootstrapping; check MICOM/MGA and cross-validation conditions and warnings.
planning|Sample size, power and effect size|Calculate sample size, power and effect size for supported tests. Record alpha, assumed effect, group allocation and test direction with the inputs.|Ground effect assumptions in research evidence. Do not generalize simple-design calculations to adequate sample sizes for clustered, longitudinal or complex structural models. Observed power alone does not explain a nonsignificant result.
reporting|Tables, figures and exports|Public 1.3.0 provides HTML/image and PDF/Word/Excel exports. HTML/PDF reports for Mediation/Moderation Effects, CFA, SEM and PLS-SEM append the result model figure. Images preserve the displayed result layout; Free uses 300 dpi and development/Pro uses 600 dpi. Review current results and use Add to Results to collect them. HTML, PDF, Word and Excel saving is supported. HWPX is available only in the accumulated Results screen with Korean UI and is written directly, without Word or Hancom conversion. Word/HWPX offer main tables, appendix tables, explanations and figures; main tables are selected by default. Saving uses captured displayed results without rerunning analyses. Free figures use 300 dpi and developer figures use 600 dpi. HTML includes a cover and linked table list.|Save transparent backgrounds, with white where transparency is unsupported. Valid p ≥ .05 paths are dashed when nonsignificance display is enabled; paths without p are distinct. Covers follow the UI language; Free shows the logo and StatEdu, Institute of Statistics. Check table orientation, wrapping, notes and paired residual plots after export.
validation|Validation and reporting boundaries|Comparisons include general analyses, regression, longitudinal and survival analyses against SPSS; CFA/SEM against AMOS; and PLS-SEM/PLSc and CB-SEM against SmartPLS. These are cumulative validations incorporated into 1.3.0. The Validation page summarizes conditions and remaining differences.|Agreement on selected indices does not establish equivalence for every analysis, dataset or inference. Match data, coding, estimator, missingness and tolerances. For example, 49 of 50 comparable AMOS models agreed; 41 of 2,895 SPSS LMM values differed. Detailed source data and internal execution records are not part of the public documentation.
