Phân tích|Ghi chú phương pháp|Lịch sử phiên bản|Mục lục
mediation|Hiệu ứng trung gian và điều tiết|Gán vai trò biến dự báo, kết quả, trung gian, điều tiết và đồng biến, rồi vẽ đường dẫn để ước lượng hiệu ứng trực tiếp, gián tiếp, tổng và có điều kiện. Không chọn theo số mô hình. Cấu trúc không hỗ trợ được kiểm tra trước khi chạy.|Đánh giá gián tiếp bằng khoảng bootstrap và điều tiết bằng tương tác, hiệu ứng có điều kiện. Đường dẫn từ dữ liệu quan sát không tự xác lập nhân quả. Kiểm tra lần lấy mẫu hợp lệ và cảnh báo; tạm ngừng suy luận không đồng nghĩa không có ý nghĩa.
generalized|Hồi quy logistic, GLM và có phạt|Dùng mô hình logistic, tuyến tính tổng quát, Ridge, LASSO và Elastic Net. Báo cáo hệ số, hiệu năng cùng thang kết quả, họ phân phối, hàm liên kết và thiết lập kiểm định chéo.|Không diễn giải OR là chênh lệch xác suất. Kiểm tra họ phân phối, quá phân tán và liên kết. Hệ số có phạt khác suy luận OLS thường; hiệu năng trên dữ liệu huấn luyện không phải hiệu năng dự báo bên ngoài.
longitudinal|Dữ liệu dọc, bảng và khảo sát|Thiết kế hỗ trợ gồm GEE, LMM, GLMM, hiệu ứng cố định/ngẫu nhiên và mẫu khảo sát phức tạp. Kiểm tra mã cá thể/cụm, thời gian, trọng số, tầng và cụm theo phân tích.|Không coi quan sát lặp là trường hợp độc lập. Phân biệt hiệu ứng trung bình quần thể với hiệu ứng có điều kiện theo cá thể; nêu cấu trúc tương quan/hiệu ứng ngẫu nhiên và thiết kế. Menu phương trình cấu trúc không hỗ trợ mọi thiết kế này.
survival|Phân tích sống còn|Dùng Kaplan–Meier, log-rank, RMST, Cox và phân tích nguy cơ cạnh tranh được hỗ trợ. Kiểm tra định dạng và mã sự kiện trước; tổ hợp không hỗ trợ bị hạn chế.|Nêu gốc thời gian, đơn vị, kiểm duyệt và mã sự kiện. Kiểm tra giả định nguy cơ tỷ lệ Cox và thời hạn RMST. CIF, HR theo nguyên nhân và SHR phân phối phụ là các đại lượng đích khác nhau.
cfa|Phân tích nhân tố khẳng định (CFA)|Dùng ML, MLR và WLSMV/DWLS cho dữ liệu thứ bậc; xem tải, độ phù hợp, độ tin cậy, AVE, HTMT và so sánh bất biến đo lường được hỗ trợ. Normal/Wishart chỉ áp dụng cho thiết lập ML phù hợp.|Chọn ước lượng theo mức đo. Kiểm tra hội tụ, phương sai âm, tương quan nhân tố lớn và sai lệch cục bộ trước. Không mặc định có tự động bỏ ràng buộc bất biến từng phần hay tự động gộp mục hoàn toàn.
sem|Mô hình phương trình cấu trúc (SEM)|Báo cáo đường dẫn đo lường/cấu trúc, độ phù hợp và hiệu ứng trực tiếp, gián tiếp, có điều kiện được hỗ trợ. Bootstrap mặc định 5,000 lần; kết quả phản ánh khoảng BC hoặc phân vị và các tùy chọn đã chọn.|Mô hình cấu trúc hiện tại dùng dữ liệu cắt ngang độc lập. Không diễn giải thành SEM đa cấp, khảo sát phức tạp hay dọc. Kiểm tra bất biến đo lường trước so sánh đường dẫn giữa nhóm; mô hình điều tiết đa nhóm có giới hạn hỗ trợ.
pls|PLS-SEM và PLSc|Dùng Mode A phản ánh, Mode B hình thành, PLSc phản ánh, chẩn đoán đường dẫn/đo lường và dự báo/so sánh nhóm được hỗ trợ. Thiếu được thay bằng trung bình chỉ báo qua seminr::mean_replacement, tính lại trong từng mẫu bootstrap. Mặc định 5,000 lần.|Không áp dụng PLSc cho mô hình hình thành. Suy luận bootstrap bị hạn chế khi dưới 80% mẫu lặp đầy đủ hợp lệ. Phân biệt suy luận hiệu ứng với bootstrap độ phù hợp chính xác; kiểm tra điều kiện, cảnh báo MICOM/MGA và kiểm định chéo.
planning|Cỡ mẫu, lực kiểm định và cỡ hiệu ứng|Tính cỡ mẫu, lực kiểm định và cỡ hiệu ứng cho kiểm định được hỗ trợ. Ghi alpha, hiệu ứng giả định, phân bổ nhóm và hướng kiểm định.|Giả định hiệu ứng cần căn cứ nghiên cứu. Không khái quát tính toán thiết kế đơn giản thành cỡ mẫu đủ cho mô hình cụm, dọc hoặc cấu trúc phức tạp. Lực kiểm định quan sát không tự giải thích kết quả không có ý nghĩa.
reporting|Bảng, hình và xuất kết quả|Bản công khai 1.3.0 lưu HTML/hình và PDF/Word/Excel. Báo cáo HTML/PDF của trung gian/điều tiết, CFA, SEM, PLS-SEM thêm hình mô hình kết quả ở cuối. Hình giữ bố cục đang hiển thị; Free dùng 300 dpi, phát triển/Pro dùng 600 dpi. Xem kết quả và thêm vào bộ kết quả tích lũy. Có HTML, PDF, Word và Excel. HWPX chỉ có ở màn hình kết quả tích lũy với giao diện Hàn và được ghi trực tiếp, không qua Word/Hancom. Word/HWPX cho chọn bảng chính, phụ lục, giải thích và hình; mặc định là bảng chính. Lưu bản hiển thị đã ghi nhận, không tính lại. Free dùng 300 dpi, bản phát triển 600 dpi. HTML có trang bìa và danh sách bảng liên kết.|Nền trong suốt, hoặc trắng nếu định dạng không hỗ trợ. Khi bật hiển thị không có ý nghĩa, đường có p hợp lệ ≥ .05 dùng nét đứt, khác đường không có p. Bìa theo ngôn ngữ UI; Free có logo và StatEdu, Institute of Statistics. Kiểm tra hướng bảng, xuống dòng, chú thích và cặp hình phần dư sau khi lưu.
validation|Xác minh và giới hạn báo cáo|Đã so sánh phân tích tổng quát, hồi quy, dọc và sống còn với SPSS; CFA/SEM với AMOS; PLS-SEM/PLSc và CB-SEM với SmartPLS. Đây là xác minh tích lũy được đưa vào 1.3.0; trang Xác minh tóm tắt điều kiện và khác biệt còn lại.|Khớp một số chỉ số không chứng minh tương đương mọi phân tích. Cần thống nhất dữ liệu, mã hóa, ước lượng, xử lý thiếu và dung sai. Ví dụ 49 trong 50 mô hình AMOS có thể so sánh khớp; 41 trong 2,895 giá trị LMM của SPSS còn khác biệt. Dữ liệu gốc chi tiết và nhật ký nội bộ không thuộc tài liệu công khai.
