x1;x2;x3;x4;x5;x6;x7;x8;x9
5;4.5;2.625;1.6666667;2.75;1.5714286;5.2608696;7.35;5.9722222
5;6;3.25;3.3333333;5.75;2.7142857;3.4782609;4.6;4.2777778
4.1666667;5.25;2.125;3;3.25;0.71428571;3.4782609;5.7;4.5833333
3.8333333;5.25;2.375;1.6666667;2.25;1;3.1304348;5.75;4.6666667
5.6666667;7;2.125;4;4.75;2.2857143;5.6521739;5.7;6.4722222
1.6666667;5.75;1.375;0;1.5;1.1428571;5.6956522;4;5.6388889
6.3333333;5.5;4.125;4;3.25;1.8571429;5.5652174;7.35;5.75
4;5.25;2.5;1;1.5;1.8571429;4.6956522;5.15;5.3333333
4.5;6;1.75;1.6666667;2;1.5714286;5.8695652;6.45;6.0277778
4.6666667;8;4.25;3;4.75;2.4285714;5.1304348;5.75;5.3055556
4.8333333;8.25;2.25;0.33333333;2.25;0.57142857;5.3478261;5.2;5.7777778
4.8333333;6.5;1.75;2.3333333;3.5;0.71428571;5.7826087;5.75;4.9722222
3;5.25;0.625;1;1.5;1;4.9565217;4.85;4.5833333
6.3333333;6.25;2.5;3.3333333;5.75;3.7142857;4.6086957;6.85;5.4722222
5.5;7;2.875;2.6666667;4;0.85714286;4.0869565;5.4;5.9722222
5.3333333;6;2.75;4;5;2.1428571;5.5217391;4.55;5.1388889
3.3333333;7.25;3.25;1.3333333;1.25;0.57142857;3.5652174;5.55;4.8888889
5.5;5;2.25;3.6666667;4.5;1.7142857;4.173913;5.95;6.6666667
4;6.5;2.625;2.6666667;2.75;1.8571429;6.6521739;7.5;5.4444444
3.8333333;6.25;3.375;2;3.75;0.42857143;5.3913043;7.8;6.1111111
5.1666667;4.75;2.125;1;2;1.5714286;3.5652174;6.4;5.7222222
4.3333333;3.5;0.875;2.6666667;3.25;1.1428571;3.6086957;4.8;3.9444444
4.1666667;5.5;0.875;4.6666667;4.75;2.1428571;4.1304348;5.35;3.7777778
5;5.75;4.25;4;4.25;2.4285714;3.5652174;3.6;5.4444444
4.3333333;4.75;0.5;3.3333333;5.75;2.8571429;5.5217391;5.85;4.2222222
7.5;7.5;2.125;5.3333333;6.75;2.7142857;5.1304348;5.55;7.2222222
5;3.75;1.375;1.6666667;2.75;1.4285714;5.5652174;6.1;4.6111111
5.5;6.25;2.75;3.6666667;4.5;3.2857143;4.9130435;5.15;5.75
